bblid,scanid,restExclude,restExcludeVoxelwise,restNoDataExclude,restRelMeanRMSMotion,restRelMeanRMSMotionExclude,restNSpikesMotion,restNSpikesMotionExclude,restNormCrossCorr,restNormCoverage,restCoregCrossCorr,restCoregCoverage,restVoxelwiseCoverageExclude,restRpsMapCorrectionNotApplied
131810,6497,0,0,0,0.0330823,0,0,0,0.91010224,0.9801299503,0.88767978,0.984827654,0,0
132782,6498,1,1,0,0.222661,1,28,1,0.90771456,0.979077162,0.87971199,0.9824101935,0,0
103989,6499,0,0,0,0.0359779,0,0,0,0.91442951,0.984601642,0.89700622,0.9887156199,0,0
131076,6500,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
95865,6505,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
130896,6506,0,0,0,0.0416933,0,2,0,0.9213331,0.9779286657,0.90663981,0.9838430507,0,0
130151,6507,1,1,0,0.214519,1,34,1,0.82869972,0.8169371305,0.80656271,0.8116044516,1,0
127305,6526,0,0,0,0.0409436,0,0,0,0.90808451,0.9814220086,0.89067729,0.9840843401,0,0
85433,6528,0,0,0,0.0310114,0,0,0,0.91361139,0.9752754265,0.88944743,0.9825215606,0,0
131534,6529,1,1,0,0.248933,1,26,1,0.90425599,0.9608554171,0.88493478,0.965975005,0,0
130250,6530,0,0,0,0.0659455,0,1,0,0.91262062,0.9823099664,0.88873806,0.986029123,0,0
82985,6532,0,0,0,0.0267252,0,0,0,0.91130888,0.9794387256,0.89923836,0.985596572,0,0
113523,6533,0,0,0,0.0634304,0,2,0,0.91544209,0.9861648731,0.89428786,0.9893525224,0,0
126344,6535,0,0,0,0.186855,0,20,0,0.90115096,0.9846813987,0.87777851,0.9888985162,0,0
125316,6536,0,0,0,0.073854,0,3,0,0.90230022,0.9599355566,0.88252925,0.9642709874,0,0
131837,6540,0,0,0,0.0311808,0,0,0,0.90680726,0.9623176231,0.89103166,0.9676524765,0,0
112408,6541,1,1,0,0.325852,1,48,1,0.91468249,0.9808849803,0.8921832,0.98549109,0,0
129335,6542,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
131444,6544,0,0,0,0.0800749,0,5,0,0.89756424,0.9740790761,0.86818673,0.9754220705,0,0
88181,6545,0,0,0,0.0445018,0,1,0,0.90825945,0.9832617296,0.88329428,0.9877989092,0,0
82208,6552,0,0,0,0.0479516,0,0,0,0.91326719,0.9835329023,0.88493612,0.986854564,0,0
115400,6553,0,0,0,0.0565941,0,1,0,0.90134161,0.9848621805,0.87660282,0.9892556927,0,0
129405,6554,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
81462,6563,0,0,0,0.0462322,0,2,0,0.90827958,0.9776574929,0.89258606,0.9835277669,0,0
118615,6564,1,1,0,0.225805,1,29,1,0.91423051,0.9791941385,0.89196467,0.9838703633,0,0
82423,6565,0,0,0,0.0980631,0,6,0,0.90386003,0.9619879621,0.8817967,0.9654561702,0,0
104960,6570,0,0,0,0.130936,0,12,0,0.90316466,0.9831979242,0.87953443,0.9868795818,0,0
85902,6571,0,0,0,0.168196,0,15,0,0.88904296,0.9339455103,0.86561825,0.9385545126,0,0
99791,6572,0,0,0,0.0684663,0,1,0,0.90937694,0.9774288571,0.89571968,0.982092666,0,0
84096,6573,0,0,0,0.0947737,0,8,0,0.89538621,0.9747277639,0.87368804,0.9811390421,0,0
116843,6574,1,1,0,0.266255,1,42,1,0.91692584,0.974828789,0.89426217,0.9814049116,0,0
114545,6575,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
107903,6577,1,1,0,0.335885,1,60,1,0.90644885,0.9802947808,0.88700642,0.9865311582,0,0
98394,6578,0,0,0,0.0570104,0,0,0,0.909259,0.9862605811,0.88549604,0.9899105651,0,0
133145,6579,1,1,0,0.21028,1,22,1,0.91729026,0.9864147774,0.89641087,0.9897196205,0,0
126532,6580,0,1,0,0.0442303,0,0,0,0.87785787,0.9630567017,0.84323682,0.9703670013,1,0
83253,6582,0,0,0,0.128012,0,15,0,0.89507626,0.9570164618,0.86761307,0.9576017099,0,0
81906,6584,0,0,0,0.02704,0,0,0,0.91247399,0.9805553193,0.88817287,0.9853004508,0,0
91833,6597,0,0,0,0.0512006,0,0,0,0.90114974,0.98620741,0.87399928,0.9893935762,0,0
115704,6598,0,0,0,0.0917534,0,5,0,0.91351055,0.9817357183,0.89232575,0.9848750085,0,0
119065,6601,0,0,0,0.0299747,0,0,0,0.90636428,0.9739567826,0.88055839,0.9778286022,0,0
88023,6602,0,0,0,0.0274292,0,0,0,0.91055461,0.9759028458,0.88828078,0.9801989896,0,0
83044,6603,0,0,0,0.064804,0,0,0,0.90316361,0.9840008083,0.88421874,0.9877946999,0,0
84371,6604,0,0,0,0.0306213,0,0,0,0.90494395,0.9773650517,0.88103379,0.9814076127,0,0
109464,6606,0,0,0,0.13892,0,15,0,0.90934027,0.9755253308,0.88579715,0.978344756,0,0
91517,6608,0,0,0,0.0288285,0,0,0,0.90459655,0.9704102685,0.88257302,0.9763608324,0,0
127104,6609,0,0,0,0.151821,0,16,0,0.9206793,0.9796567273,0.90226226,0.9835680009,0,0
132086,6610,0,0,0,0.0543162,0,2,0,0.91246862,0.9829852397,0.88625228,0.9869881672,0,0
100522,6611,0,0,0,0.162995,0,12,0,0.91278321,0.9722446723,0.89086813,0.9772358592,0,0
100869,6612,0,0,0,0.0316933,0,0,0,0.9223983,0.9842826152,0.89438235,0.988427477,0,0
108689,6613,0,0,0,0.120441,0,8,0,0.89856122,0.980071462,0.87115695,0.9828516515,0,0
84891,6616,0,0,0,0.0831072,0,4,0,0.90058785,0.9840592965,0.87866691,0.9882624773,0,0
117256,6617,0,0,0,0.0638636,0,1,0,0.91057488,0.963636267,0.88899575,0.9673036069,0,0
82229,6619,0,0,0,0.0304652,0,0,0,0.88360078,0.9703943171,0.85860982,0.9741164311,0,0
82066,6629,0,0,0,0.107659,0,3,0,0.90975011,0.9826768472,0.88815612,0.9873459147,0,0
87195,6630,0,0,0,0.0452316,0,0,0,0.90246515,0.9667414608,0.88297217,0.9740989456,0,0
84354,6631,0,0,0,0.118168,0,5,0,0.91939745,0.9817729381,0.90060062,0.9858215168,0,0
80263,6635,0,0,0,0.0746405,0,8,0,0.91879325,0.9900516824,0.9073883,0.9932359917,0,0
131666,6637,0,0,0,0.0395878,0,0,0,0.88483666,0.9519279851,0.85933835,0.9586948841,0,0
129486,6638,1,1,0,0.610192,1,47,1,0.91493986,0.9813475691,0.8913275,0.9859402145,1,0
131603,6639,0,0,0,0.058328,0,3,0,0.91163685,0.9801884385,0.89041669,0.9847498399,0,0
110232,6640,0,0,0,0.0342047,0,0,0,0.89121881,0.9685705475,0.87057345,0.9746517996,0,0
86252,6642,1,1,0,0.21142,1,27,1,0.91794748,0.9752222554,0.88921672,0.9793456592,1,0
85397,6643,0,0,0,0.0455966,0,2,0,0.91884139,0.983235144,0.90214959,0.9868135448,0,0
94028,6645,0,0,0,0.123606,0,11,0,0.91377051,0.9684269855,0.88807267,0.9710431688,0,0
98751,6649,0,0,0,0.0854352,0,6,0,0.91640361,0.9841496874,0.89151798,0.9874992129,0,0
113340,6650,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
116624,6664,0,0,0,0.0658042,0,3,0,0.91342298,0.9760623591,0.8865498,0.9777191242,0,0
98672,6665,0,0,0,0.034573,0,0,0,0.90504928,0.9837668553,0.88398836,0.9877289723,0,0
81876,6666,0,0,0,0.0812234,0,6,0,0.91244171,0.9773437833,0.88338511,0.9800136674,0,0
83835,6671,0,0,0,0.0670343,0,5,0,0.92007697,0.9747383981,0.89916345,0.9810054762,0,0
85369,6672,0,0,0,0.10809,0,10,0,0.89523519,0.9439735846,0.87312103,0.9575553914,0,0
85400,6673,0,0,0,0.0952641,0,0,0,0.91106993,0.9741003446,0.88966389,0.9792127708,0,0
82453,6675,0,0,0,0.0275907,0,0,0,0.90825232,0.9756529415,0.88378732,0.9812867301,0,0
90683,6676,0,0,0,0.0887756,0,3,0,0.8984506,0.9764292399,0.87976823,0.9814421338,0,0
133240,6677,0,0,0,0.0256208,0,0,0,0.91592761,0.9764717768,0.89462538,0.9831438247,0,0
83358,6678,0,0,0,0.0677035,0,0,0,0.91040614,0.9815549365,0.88509768,0.9860498588,0,0
127008,6680,0,0,0,0.0327702,0,0,0,0.91202512,0.9874462972,0.88739857,0.9899462054,0,0
121011,6682,0,0,0,0.0626459,0,2,0,0.91281689,0.989514654,0.88733995,0.9917728572,0,0
133220,6694,1,1,0,0.274,1,33,1,0.89909506,0.9718724744,0.87270274,0.9770860312,0,0
88902,6695,1,1,0,0.203079,1,16,0,0.90949841,0.972228721,0.8930235,0.975526059,0,0
113929,6697,1,1,0,4.35369,1,101,1,0.85429806,0.9935875623,0.82688834,0.9933598937,1,0
132785,6698,0,0,0,0.0618104,0,1,0,0.90791001,0.9808211749,0.88246772,0.9846910291,0,0
132111,6699,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
131927,6702,0,0,0,0.0575668,0,1,0,0.9301641,0.9893764091,0.90777914,0.9942250635,0,0
91210,6703,0,0,0,0.0507847,0,0,0,0.92007784,0.9884565486,0.90047221,0.9921267994,0,0
89044,6709,0,0,0,0.0542567,0,0,0,0.91909196,0.9837402697,0.89716721,0.9866084377,0,0
102534,6711,0,0,0,0.024045,0,0,0,0.92117759,0.9815443022,0.89704346,0.985449006,0,0
82962,6720,1,1,0,0.206029,1,26,1,0.91622795,0.9730103365,0.88932398,0.9778760167,1,0
89377,6721,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
83423,6723,0,0,0,0.0958825,0,8,0,0.91434747,0.9885522566,0.89171327,0.9913614485,0,0
81725,6726,0,0,0,0.0417346,0,1,0,0.9069462,0.9755891361,0.88893767,0.9797584208,0,0
88402,6727,0,0,0,0.0777899,0,2,0,0.91244951,0.9826449445,0.889937,0.9859050804,0,0
81865,6728,0,0,0,0.0218294,0,0,0,0.90768384,0.9696446042,0.88320152,0.9738799576,0,0
88907,6729,1,1,0,0.683676,1,48,1,0.9115638,0.9686768898,0.88929187,0.9748916418,1,0
91466,6730,0,0,0,0.0733142,0,0,0,0.91282682,0.9712610065,0.89586588,0.9779118561,0,0
86486,6731,0,0,0,0.0359578,0,1,0,0.89108409,0.9521034498,0.87005524,0.9553276553,0,0
88547,6732,0,0,0,0.0378627,0,0,0,0.91458044,0.9713141776,0.89204615,0.974909274,0,0
84136,6733,0,0,0,0.0733627,0,2,0,0.90704045,0.9639606109,0.88420567,0.9675652059,0,0
85983,6735,1,1,0,0.526737,1,60,1,0.86015227,0.8750957081,0.84333704,0.879970802,1,0
98908,6739,0,0,0,0.0365173,0,0,0,0.91826209,0.9858352121,0.89510158,0.9884118531,0,0
127091,6740,0,0,0,0.158642,0,13,0,0.90505817,0.9585477903,0.87848645,0.9613412232,0,0
83832,6747,0,0,0,0.0246625,0,0,0,0.9069885,0.9799810711,0.88089111,0.9833200036,0,0
91962,6749,0,0,0,0.128592,0,9,0,0.92132912,0.9837296355,0.89852673,0.9875134377,0,0
114723,6756,1,1,1,0.0215928,0,0,0,NA,NA,0.90107688,0.9885333293,NA,0
120818,6757,0,0,0,0.0512419,0,0,0,0.9129291,0.9796301417,0.89738335,0.9838532596,0,0
115571,6759,0,0,0,0.105314,0,9,0,0.91253897,0.9831926071,0.89137735,0.9878268403,0,0
88621,6760,0,0,0,0.12142,0,14,0,0.90893639,0.9761208474,0.89048134,0.9812030138,0,0
92918,6762,1,1,0,0.347825,1,41,1,0.92223932,0.9748075206,0.90140492,0.9782648751,0,0
87772,6763,0,0,0,0.0947238,0,3,0,0.88783823,0.9458664767,0.86297359,0.9515779175,0,0
83127,6764,1,1,0,0.170241,0,26,1,0.90473467,0.987908886,0.87822239,0.9901453896,0,0
86212,6767,0,0,0,0.105132,0,12,0,0.9167258,0.9701444128,0.9005832,0.9752697284,0,0
91393,6770,0,0,0,0.0528225,0,0,0,0.91393553,0.9736271216,0.903675,0.9779192239,0,0
125220,6784,0,0,0,0.0889485,0,3,0,0.91364838,0.9821983071,0.89194983,0.9857634843,0,0
111282,6790,0,0,0,0.0771115,0,6,0,0.91595037,0.9849206687,0.90373899,0.9888796711,0,0
85679,6791,0,0,0,0.0414905,0,2,0,0.90768126,0.9735845847,0.8804925,0.979678736,0,0
87189,6792,0,1,0,0.0456503,0,0,0,0.91684636,0.9805340508,0.89929181,0.9854086494,1,0
90428,6793,0,0,0,0.0867412,0,0,0,0.91921017,0.9858139436,0.89337663,0.9894257133,0,0
88773,6794,1,1,0,0.373891,1,47,1,0.91468425,0.9674486367,0.89582876,0.9718563519,0,0
84685,6795,0,0,0,0.0663182,0,4,0,0.91525626,0.9843889575,0.89038073,0.9878631008,0,0
89279,6798,0,0,0,0.0460782,0,0,0,0.91169252,0.9867816581,0.88921561,0.9903757169,0,0
122340,6803,0,0,0,0.129009,0,9,0,0.92547417,0.9877387384,0.90685825,0.9909133754,0,0
130346,6805,0,0,0,0.0277843,0,0,0,0.91521129,0.9745842018,0.8916623,0.9796652696,0,0
83339,6806,0,0,0,0.0778083,0,4,0,0.91220294,0.9647050066,0.8869997,0.9678926064,0,0
82359,6815,0,0,0,0.0419567,0,0,0,0.91271997,0.9752275725,0.88696969,0.9785186215,0,0
85258,6816,0,0,0,0.0388571,0,0,0,0.89866567,0.9902856353,0.87147699,0.992422608,0,0
91404,6817,0,0,0,0.0587026,0,0,0,0.90566192,0.9734357055,0.87971417,0.9769385945,0,0
83632,6818,0,0,0,0.0851717,0,5,0,0.91921064,0.966608533,0.89270308,0.9719250019,0,0
88241,6821,0,0,0,0.096186,0,8,0,0.91611446,0.9863190693,0.89723895,0.9905315557,0,0
100974,6822,0,0,0,0.134736,0,13,0,0.91643562,0.9839689056,0.89115659,0.987546596,0,0
90241,6823,0,0,0,0.0408071,0,0,0,0.91465846,0.9801671701,0.89960033,0.9844515347,0,0
93156,6824,0,0,0,0.0362369,0,0,0,0.90932122,0.9722978434,0.89177941,0.9783421766,0,0
